reaction,DGdd_true,AR_smiles,AR_atom,AH_smiles,AH_atom,BR_smiles,BR_atom,BH_smiles,BH_atom,DE,DH,DG,AR_SOMO,AR_IE,AR_EA,AR_Eneg,AR_Soft,AR_Q,AR_Fuk0,AR_BO,AR_BV3,AR_BV4,AR_BV5,AH_HOMO,AH_LUMO,AH_CP,AH_Hard,AH_Soft,AH_Ephil,AH_Q,AH_FukP,AH_FukM,AH_FukD,AH_BO,AH_BOH,AH_BOX,AH_BV3,AH_BV4,AH_BV5,BR_SOMO,BR_IE,BR_EA,BR_Eneg,BR_Soft,BR_Q,BR_Fuk0,BR_BO,BR_BV3,BR_BV4,BR_BV5,BH_HOMO,BH_LUMO,BH_CP,BH_Hard,BH_Soft,BH_Ephil,BH_Q,BH_FukP,BH_FukM,BH_FukD,BH_BO,BH_BOH,BH_BOX,BH_BV3,BH_BV4,BH_BV5
N1-A1a-H1,19.9,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C,0,CC,0,13.269006201881897,0.09999999999999432,-1.0,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-8.2466,7.5941,-0.4143,3.5899,0.12486888766794865,-0.11146610,-0.238,1.0260933242136165,0.32443757449344457,0.14388073366023213,0.07365937687237867,-11.8467,3.6556,-4.09555,7.75115,0.12901311418305672,1.0820026578314186,-0.09697079,-0.051,0.015,-0.066,0.9995989386817863,0.9891819779480517,1.0308498208829902,0.3619636471990465,0.16101576562596984,0.08247729494497177
N1-A1b-H1,25.8,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C#N,0,CC#N,0,3.762473217577283,-4.299999999999997,-4.5,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-10.466,9.8595,1.6639,5.7617,0.12201669188344964,-0.07229714,-0.193,1.0952641046668197,0.29574828665077474,0.14616178387437154,0.07491682696855981,-11.6113,-5.5011,-8.5562,3.0551,0.3273215279368924,11.98136860331904,-0.10630814,0.059,-0.01,0.06899999999999999,0.9826904130250675,0.9535757138672571,1.070034510498499,0.3316168802145411,0.1626916392526845,0.08353371069975718
N1-A1c-H1,10.8,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]N,0,CN,0,1.4396168592131664,-7.799999999999997,-8.299999999999997,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-7.1477,6.4344,-0.5425,2.94595,0.1433301322937121,-0.10172282,-0.193,1.0453689861745001,0.2847139451728248,0.12224179132269877,0.06257883699662578,-9.9513,1.6018,-4.1747499999999995,5.77655,0.17311370974024287,1.5085593963957722,-0.01937219,0.034,0.063,-0.028999999999999998,0.9968360515877523,0.9837225220396378,1.036176640232096,0.33089056912991655,0.1418983924027062,0.07264632146573743
N1-A1d-H1,28.1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2][N+](=O)[O-],0,C[N+](=O)[O-],0,18.155238578592726,-2.700000000000003,-2.9000000000000057,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-10.7635,9.5845,1.1105,5.3475,0.1180080245456691,-0.11754151,-0.18,0.9615902369728357,0.33264116507747316,0.16557398671714976,0.0847813061713601,-12.3282,-8.5215,-10.42485,1.9033500000000005,0.5253894449260513,28.549005049649292,-0.13167269,0.077,-0.001,0.078,0.9605090997999716,0.9661732129622828,0.943516760313038,0.370157926102503,0.18372152566569425,0.09402297310081675
N1-A1e-H1,15.0,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]SC,0,CSC,0,1.0260862165255458,-5.900000000000006,-6.5,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-8.1461,6.8194,0.2859,3.55265,0.15305731996632738,-0.10703051,-0.065,1.0705154254712006,0.35659080750893923,0.20052681397802744,0.10833780076314213,-9.6606,-5.3764,-7.5185,2.1421,0.46683161383688904,13.194491912142292,-0.04868875,0.062,0.101,-0.03900000000000001,0.9912921123862866,0.9843447612449255,1.0121341658103695,0.39283186829558997,0.21878685370243933,0.11841119800700073
N1-A1f-H1,16.5,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]OC,0,COC,0,12.868659449062747,-4.099999999999994,-4.799999999999997,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-8.7367,7.9936,0.3826,4.1880999999999995,0.1313887793982394,0.02660140,-0.211,1.0144930956864067,0.31753761918951134,0.1726343802371051,0.08998454794866134,-10.912,1.4067,-4.75265,6.159350000000001,0.16235479393117777,1.8336092300729783,0.04197522,0.002,0.058,-0.056,0.9836313355692221,0.9782414736908462,0.9998009212043495,0.3633510876042908,0.19057243498231022,0.09923212765286493
N1-A1h-H1,18.0,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]O,0,CO,0,5.70066368674418,-4.5,-4.900000000000006,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-7.8942,7.2559,-0.8222,3.21685,0.12379148562161896,-0.01492499,-0.214,1.0232437745305842,0.2607363676996424,0.11019257029358823,0.056433493109646495,-11.3148,1.7863,-4.76425,6.55055,0.15265893703582142,1.732532234888673,0.04147848,-0.001,0.043,-0.044,0.9889242625604693,0.9817625181333297,1.010409495841888,0.30530207091775924,0.12935649556203835,0.06619548421683327
N1-A1i-H1,23.4,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH3],0,C,0,20.309434492467453,4.099999999999994,3.5999999999999943,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-9.0254,9.2883,-0.9216,4.18335,0.09794415224439025,-0.15115469,-0.268,0.9955805119981845,0.17880289034564958,0.07551129662963192,0.038641953896124376,-12.7202,4.6327,-4.04375,8.676449999999999,0.1152545107734154,0.9423159277411846,-0.15564820,-0.004,-0.021,0.017,0.9983842941026818,0.9983842941026818,1.074,0.22334997020262218,0.09434547824467755,0.048269922109047333
N1-A1j-H1,23.1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]Cl,0,CCl,0,6.816013759646397,-1.0999999999999943,-1.7000000000000028,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-8.955,8.2901,0.3826,4.33635,0.12646221941195068,-0.05299496,-0.162,1.0252854369289148,0.29592520858164484,0.13125737074048788,0.06721445239822144,-11.295,-4.2729,-7.78395,3.51105,0.2848150838068384,8.628455533601059,-0.02153060,0.004,0.056,-0.052000000000000005,0.9839410622901533,0.9882714149031241,0.9709500044512409,0.3347549165673421,0.15049112407671777,0.07693505408217968
N1-A1k-H1,28.4,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(F)(F)F,0,CC(F)(F)F,0,18.328630895049272,4.5,3.5,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-11.2377,10.0945,1.1143,5.6044,0.11135609451905303,-0.11510706,-0.26,0.9889069834233277,0.3733425208581645,0.1972759294891689,0.10103158210084828,-13.672,1.0036,-6.3342,7.3378000000000005,0.13628062907138377,2.733931807898825,-0.14639446,0.052,-0.031,0.08299999999999999,0.9768722850673791,0.9760981940223461,0.9791945582024782,0.40918317938021453,0.21397259636273352,0.10952035571252877
