reaction,DGdd_true,AR_smiles,AR_atom,AH_smiles,AH_atom,BR_smiles,BR_atom,BH_smiles,BH_atom
N1-A1a-H1,19.9,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C,0,CC,0
N1-A1b-H1,25.8,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C#N,0,CC#N,0
N1-A1c-H1,10.8,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]N,0,CN,0
N1-A1d-H1,28.1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2][N+](=O)[O-],0,C[N+](=O)[O-],0
N1-A1e-H1,15,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]SC,0,CSC,0
N1-A1f-H1,16.5,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]OC,0,COC,0
N1-A1h-H1,18,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]O,0,CO,0
N1-A1i-H1,23.4,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH3],0,C,0
N1-A1j-H1,23.1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]Cl,0,CCl,0
N1-A1k-H1,28.4,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(F)(F)F,0,CC(F)(F)F,0
N1-A1l-H1,24.9,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)=O,0,CC(C)=O,0
N1-A1m-H1,22.2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)(C)C,0,CC(C)(C)C,0
N1-A1n-H1,7.7,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]N(C)C,0,CN(C)C,0
N1-B1a-H1,18.8,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CC,1,CCCC,1
N1-B1a-H3,21.5,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCC,0,CCCC,0
N1-B1b-H1,23.8,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]C#N,2,CCCC#N,2
N1-B1b-H2,21.4,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CC#N,1,CCCC#N,1
N1-B1b-H3,23.4,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCC#N,0,CCCC#N,0
N1-B1c-H1,11.2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]N,2,CCCN,2
N1-B1c-H2,18.9,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CN,1,CCCN,1
N1-B1c-H3,21.6,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCN,0,CCCN,0
N1-B1d-H1,25.7,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH][N+](=O)[O-],2,CCC[N+](=O)[O-],2
N1-B1d-H2,22.6,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]C[N+](=O)[O-],1,CCC[N+](=O)[O-],1
N1-B1d-H3,23,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CC[N+](=O)[O-],0,CCC[N+](=O)[O-],0
N1-B1e-H1,13.8,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]SC,2,CCCSC,2
N1-B1e-H2,20.3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CSC,1,CCCSC,1
N1-B1e-H3,21.9,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCSC,0,CCCSC,0
N1-B1f-H1,16.2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]OC,2,CCCOC,2
N1-B1f-H2,19.1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]COC,1,CCCOC,1
N1-B1f-H3,22.2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCOC,0,CCCOC,0
N1-B1h-H1,16,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]O,2,CCCO,2
N1-B1h-H2,18.3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CO,1,CCCO,1
